Year,State,stateid,statepop,"Residents in State, County, and City Mental Hospitals",Resident all Mental Institutions,All Patients (Resident and on Parole) in All Mental Institutions,Homicide Count,Prisoners,Jailpop,Executions,Real Per Cap Income,Age Percent 15 to 19,Age Percent 20 to 24,Nonwhite,r_black,r_urban
1922,AL,1,2434000,2718,2718,3251,,3169,318,,,,,,,
1922,AK,2,,,,,,,,,,,,,,
1922,AZ,3,360000,554,554,613,,355,70.5999999999995,,,,,,,
1922,AR,4,1772000,1990,2121,2731,,1410,131.399999999998,,,,,,,
1922,CA,5,3991000,11507,12059,13095,382,3837,1041.39999999997,,,,,,,
1922,CO,6,965000,2017,2147,2355,114,1015,160.699999999999,,,,,,,
1922,CT,7,1431000,4376,4837,5157,42,891,234,,,,,,,
1922,DE,8,214000,518,518,539,21,,66.9000000000087,,,,,,,
1922,FL,10,1044000,1950,1950,2101,232,1368,171.099999999991,,,,,,,
1922,GA,11,2965000,3972,4150,4731,561,3738,1844.59999999999,,,,,,,
1922,HI,12,,,,,,,,,,,,,,
1922,ID,13,436000,609,609,609,14,284,31.0999999999985,,,,,,,
1922,IL,14,6958000,18764,19163,20384,655,4416,1613.89999999999,,,,,,,
1922,IN,15,2965000,5780,6595,6924,171,2302,630.5,,,,,,,
1922,IA,16,2428000,5034,6902,7804,,1794,110,,,,,,,
1922,KS,17,1799000,3295,3402,3566,129,1574,146.399999999998,,,,,,,
1922,KY,18,2450000,4635,4708,5127,283,2079,371.900000000001,,,,,,,
1922,LA,19,1871000,3022,3322,3407,325,1593,307.599999999991,,,,,,,
1922,ME,20,778000,1838,1864,1960,13,379,112.900000000001,,,,,,,
1922,MD,21,1509000,3297,4797,4998,111,1483,1046.69999999998,,,,,,,
1922,MA,22,4010000,15375,15869,18251,104,1448,1638.90000000001,,,,,,,
1922,MI,23,3942000,7443,8971,8973,171,3641,1019,,,,,,,
1922,MN,24,2451000,6632,6691,7304,88,1634,534.099999999991,,,,,,,
1922,MS,25,1836000,2537,2617,3159,351,1620,158.299999999996,,,,,,,
1922,MO,26,3437000,5242,8866,9189,391,2205,468.599999999991,,,,,,,
1922,MT,27,543000,1438,1438,1438,42,331,68.3999999999996,,,,,,,
1922,NE,28,1312000,2926,2988,3183,59,789,122.900000000001,,,,,,,
1922,NV,29,81000,205,205,214,,174,30.6999999999989,,,,,,,
1922,NH,30,451000,1399,1399,1501,7,138,99.5,,,,,,,
1922,NJ,31,3380000,5090,8873,9161,157,1912,589.600000000006,,,,,,,
1922,NM,32,375000,392,392,402,,239,21.4000000000001,,,,,,,
1922,NY,33,10589000,39510,41238,44638,528,6316,3963.90000000002,,,,,,,
1922,NC,34,2700000,3575,3692,4251,244,1046,726.400000000009,,,,,,,
1922,ND,35,647000,1269,1269,1382,,244,96.4000000000005,,,,,,,
1922,OH,36,6054000,12811,13249,14565,435,4234,1300.10000000001,,,,,,,
1922,OK,37,2140000,2873,2895,3058,,1799,90.4000000000087,,,,,,,
1922,OR,38,814000,2406,2666,2919,48,406,153.299999999996,,,,,,,
1922,PA,39,8982000,10545,21050,22608,538,4298,2930.29999999999,,,,,,,
1922,RI,40,644000,1485,1630,1994,14,466,194.900000000001,,,,,,,
1922,SC,41,1692000,2400,2414,2661,244,528,707.799999999996,,,,,,,
1922,SD,42,660000,1297,1297,1301,,326,42.8000000000011,,,,,,,
1922,TN,43,2424000,2746,3407,3436,412,1630,209.700000000012,,,,,,,
1922,TX,44,4955000,6436,6598,7415,,3577,241.199999999983,,,,,,,
1922,UT,45,467000,697,700,700,28,200,62.5999999999999,,,,,,,
1922,VT,46,354000,784,1277,1293,4,316,38.4000000000005,,,,,,,
1922,VA,47,2412000,5012,5129,6065,264,1960,346.399999999965,,,,,,,
1922,WA,48,1415000,3765,3815,4266,73,1010,348.6,,,,,,,
1922,WV,49,1498000,2134,2134,2890,,1628,307.699999999997,,,,,,,
1922,WI,50,2761000,1297,9091,9346,48,1158,371.399999999994,,,,,,,
1922,WY,51,208000,309,426,439,35,335,20.5,,,,,,,
1925,AL,1,2534000,3168,3168,3580,430,,570,,,,,,,
1925,AK,2,,,,,,,,,,,,,,
1925,AZ,3,393000,658,658,734,,473,59.8000000000002,,,,,,,
1925,AR,4,1812000,,,,,1449,172.200000000001,,,,,,,
1925,CA,5,4730000,12454,12454,13905,332,5285,1730.20000000001,,,,,,,
1925,CO,6,1019000,2206,2206,2475,84,1185,185.6,,,,,,,
1925,CT,7,1506000,4654,4654,4951,55,948,324,,,,,,,
1925,DE,8,222000,580,580,631,9,,172.199999999997,,,,,,,
1925,FL,10,1264000,2162,2162,2244,454,1427,326.800000000003,,,,,,,
1925,GA,11,2883000,4640,4640,5319,,3007,1962.8,,,,,,,
1925,HI,12,,,,,,,,,,,,,,
1925,ID,13,436000,624,624,770,20,347,96.8000000000029,,,,,,,
1925,IL,14,7306000,20535,20535,21411,770,5287,2022.20000000001,,,,,,,
1925,IN,15,3119000,6295,6295,6596,204,3402,566,,,,,,,
1925,IA,16,2427000,5219,5219,6018,66,2018,236,,,,,,,
1925,KS,17,1825000,3592,3592,4154,94,2369,187.200000000001,,,,,,,
1925,KY,18,2520000,4810,4810,5325,394,2170,471.199999999997,,,,,,,
1925,LA,19,1972000,3312,3312,3402,443,1575,425.800000000003,,,,,,,
1925,ME,20,792000,1879,1879,1996,17,451,170.199999999997,,,,,,,
1925,MD,21,1556000,3618,3618,3664,117,1886,810.600000000006,,,,,,,
1925,MA,22,4154000,16759,16759,18868,111,1769,1780.2,,,,,,,
1925,MI,23,4331000,7608,7608,8596,320,4687,1205,,,,,,,
